"callret-0"	"c1l"	"c2l"	"c3l"	"c4l"
"What is based on UML Class Diagram?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Tool"
"What uses Diagnosis?"	"Controlling"	"Administrative Function"	"Management"	"Financial Controlling"
"What uses Diagnosis?"	"Controlling"	"Administrative Function"	"Management Function"	"Financial Controlling"
"What uses Quality?"	"Controlling"	"Administrative Function"	"Management"	"Financial Controlling"
"What uses Quality?"	"Controlling"	"Administrative Function"	"Management Function"	"Financial Controlling"
"What uses EFQM Excellence Model?"	"HIS Certification"	"Certification by CCHIT"	"Certification by CCHIT"	"Certification by ISO"
"What uses HIS Certificate?"	"HIS Certification"	"Information Management"	"Certification by CCHIT"	"Certification by EuroRec"
"What uses HIS Certificate?"	"HIS Certification"	"Information Management Function"	"Certification by CCHIT"	"Certification by EuroRec"
"What uses HIS Certificate?"	"HIS Certification"	"Certification by CCHIT"	"Certification by CCHIT"	"Certification by ISO"
"What uses HIS Quality?"	"HIS Certification"	"Information Management"	"Certification by CCHIT"	"Certification by EuroRec"
"What uses HIS Quality?"	"HIS Certification"	"Information Management Function"	"Certification by CCHIT"	"Certification by EuroRec"
"What uses HIS Quality?"	"HIS Certification"	"Certification by CCHIT"	"Certification by CCHIT"	"Certification by ISO"
"What uses IT Evaluation Study?"	"IT Evaluation Study Management and Execution"	"Ad Hoc Monitoring"	"Execution of a Quantitative Study"	"Execution of an IT Evaluation Study"
"What uses Application Component?"	"Information Management"	"Reporting to the CEO"	"Acquire and Implement"	"Ad Hoc Monitoring"
"What uses Application Component?"	"Information Management Function"	"Reporting to the CEO"	"Acquire and Implement"	"Ad Hoc Monitoring"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Approval to Strategic Information Management Plan"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Approval to Strategic Information Management Plan"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Configuration Management"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Configuration Management"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continual Service Improvement"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continual Service Improvement"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continuous Quality Improvement Process"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continuous Quality Improvement Process"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Creation of Strategic Information Management Plan"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Creation of Strategic Information Management Plan"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Delivering of Customer-Centered Services"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Delivering of Customer-Centered Services"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Deployment of Strategic Information Management Plan"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Deployment of Strategic Information Management Plan"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Designing Customer-Centered Services"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Designing Customer-Centered Services"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Enterprise Function"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Enterprise Function"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Establishing Referential Integrity"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Establishing Referential Integrity"
"What uses Architecture of an Information System?"	"Information Management"	"Reporting to the CEO"	"Acquire and Implement"	"Ad Hoc Monitoring"
"What uses Architecture of an Information System?"	"Information Management Function"	"Reporting to the CEO"	"Acquire and Implement"	"Ad Hoc Monitoring"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Analysis and Assessment of the Current HIS State"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Analysis and Assessment of the Current HIS State"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Change Management"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Change Management"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Configuration Management"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Configuration Management"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continual Service Improvement"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continual Service Improvement"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continuous Quality Improvement Process"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continuous Quality Improvement Process"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Creation of Strategic Information Management Plan"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Creation of Strategic Information Management Plan"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Data Protection"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Data Protection"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Deployment of Strategic Information Management Plan"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Deployment of Strategic Information Management Plan"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Designing Customer-Centered Services"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Designing Customer-Centered Services"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Enterprise Function"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Enterprise Function"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Establishing Referential Integrity"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Establishing Referential Integrity"
"What uses Cost of Treatment?"	"Controlling"	"Administrative Function"	"Management"	"Financial Controlling"
"What uses Cost of Treatment?"	"Controlling"	"Administrative Function"	"Management Function"	"Financial Controlling"
"What uses Diagnosis Class?"	"Controlling"	"Administrative Function"	"Management"	"Financial Controlling"
"What uses Diagnosis Class?"	"Controlling"	"Administrative Function"	"Management Function"	"Financial Controlling"
"What uses Joint Commission’s Certification Program?"	"HIS Certification"	"Information Management"	"Certification by CCHIT"	"Certification by EuroRec"
"What uses Joint Commission’s Certification Program?"	"HIS Certification"	"Information Management Function"	"Certification by CCHIT"	"Certification by EuroRec"
"What uses Key Performance Indicator?"	"Controlling"	"Administrative Function"	"Management"	"Financial Controlling"
"What uses Key Performance Indicator?"	"Controlling"	"Administrative Function"	"Management Function"	"Financial Controlling"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Adoption of Project Result"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Adoption of Project Result"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Analysis and Assessment of the Current HIS State"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Analysis and Assessment of the Current HIS State"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Approval to Strategic Information Management Plan"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Approval to Strategic Information Management Plan"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Change Management"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Change Management"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Configuration Management"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Configuration Management"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continual Service Improvement"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continual Service Improvement"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continuous HIS Auditing"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continuous HIS Auditing"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Creation of Strategic Information Management Plan"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Creation of Strategic Information Management Plan"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Data Protection"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Data Protection"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Delivering of Customer-Centered Services"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Delivering of Customer-Centered Services"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Designing Customer-Centered Services"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Designing Customer-Centered Services"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Enterprise Function"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Enterprise Function"
"What updates Controlling Report?"	"Controlling"	"Administrative Function"	"Management"	"Financial Controlling"
"What updates Controlling Report?"	"Controlling"	"Administrative Function"	"Management Function"	"Financial Controlling"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Adoption of Project Result"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Adoption of Project Result"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Approval to Strategic Information Management Plan"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Approval to Strategic Information Management Plan"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Configuration Management"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Configuration Management"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continual Service Improvement"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continual Service Improvement"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Creation of Strategic Information Management Plan"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Creation of Strategic Information Management Plan"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Delivering of Customer-Centered Services"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Delivering of Customer-Centered Services"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Deployment of Strategic Information Management Plan"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Deployment of Strategic Information Management Plan"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Designing Customer-Centered Services"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Designing Customer-Centered Services"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Establishing Referential Integrity"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Establishing Referential Integrity"
"What entity type component Resource?"	"Study"	"Clinical Trial"	"Evaluation Method"	"Field Study"
"What entity type component DICOM File Format?"	"DICOM Standard"	"Communication Standard"	"Communication Standard"	"Document Standard"
"What entity type component DICOM Message Format?"	"DICOM Standard"	"IHE"	"Communication Standard"	"Data Integration"
"What entity type component DICOM Message Format?"	"DICOM Standard"	"Communication Standard"	"Communication Standard"	"Document Standard"
"What entity type component DICOM Network Protocol?"	"DICOM Standard"	"Communication Standard"	"Communication Standard"	"Document Standard"
"What entity type component DICOM Service?"	"DICOM Standard"	"Communication Standard"	"Communication Standard"	"Document Standard"
"What entity type component IHE Integration Profile?"	"Standard"	"ISO Standard"	"Communication Standard"	"Document Standard"
"What entity type component SOA Service?"	"SOA"	"3LGM²-S"	"Access Integration"	"CP1 Style"
"What entity type component SOA Service?"	"SOA"	"3LGM²-S"	"Access Integration"	"DB1 Style"
"What entity type component SOA Service?"	"SOA"	"3LGM²-S"	"Access Integration"	"Data Integration"
"What entity type component UML Attribute?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM² Message Type"
"What entity type component UML Attribute?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM² Physical Data Processing System"
"What entity type component UML Attribute?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM² Tool Class"
"What entity type component UML Attribute?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM² Transmitting Medium"
"What entity type component UML Method?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM²-M Communication Standard"
"What entity type component UML Method?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM² Message Type"
"What entity type component UML Method?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM² Physical Data Processing System"
"What entity type component UML Method?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM²-S Service"
"What entity type component UML Method?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM²-S Service Class"
"What entity type component UML Method?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM² Software Product"
"What entity type component UML Method?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM² Tool Class"
"What entity type component 3LGM² Domain Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Intralayer Relationship"
"What entity type component 3LGM² Domain Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM²-M"
"What entity type component 3LGM² Domain Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM²-S"
"What entity type component 3LGM² Domain Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"Functional Metamodel"
"What entity type component 3LGM² Interlayer Relationship?"	"3LGM²"	"Transparency"	"3LGM²-B"	"3LGM² Domain Layer"
"What entity type component 3LGM² Interlayer Relationship?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Logical Tool Layer"
"What entity type component 3LGM² Interlayer Relationship?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM²-S"
"What entity type component 3LGM² Interlayer Relationship?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Tool"
"What entity type component 3LGM² Intralayer Relationship?"	"3LGM²"	"Transparency"	"3LGM²-B"	"3LGM² Domain Layer"
"What entity type component 3LGM² Intralayer Relationship?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Logical Tool Layer"
"What entity type component 3LGM² Intralayer Relationship?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM²-S"
"What entity type component 3LGM² Intralayer Relationship?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"Functional Metamodel"
"What entity type component 3LGM² Logical Tool Layer?"	"3LGM²"	"Transparency"	"3LGM²-B"	"3LGM² Domain Layer"
"What entity type component 3LGM² Logical Tool Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Intralayer Relationship"
"What entity type component 3LGM² Logical Tool Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM²-M"
"What entity type component 3LGM² Logical Tool Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Physical Tool Layer"
"What entity type component 3LGM² Logical Tool Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM²-S"
"What entity type component 3LGM² Logical Tool Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Tool"
"What entity type component 3LGM² Physical Tool Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Intralayer Relationship"
"What entity type component 3LGM² Physical Tool Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM²-M"
"What entity type component 3LGM² Physical Tool Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM²-S"
"What entity type component 3LGM² Physical Tool Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"Functional Metamodel"
"What entity type component Computer-Based Tool?"	"HIS Architecture"	"Architecture of an Information System"	"Heterogeneous Architecture"	"Homogeneous Architecture"
"What entity type component Integration Platform?"	"SOA"	"3LGM²-S"	"3LGM²-S"	"CP1 Style"
"What entity type component Non-Computer-Based Information Processing Tool?"	"HIS Architecture"	"Architecture of an Information System"	"Computer-Based Tool"	"Heterogeneous Architecture"
"What entity type component Non-Computer-Based Information Processing Tool?"	"HIS Architecture"	"Architecture of an Information System"	"Computer-Based Tool"	"Homogeneous Architecture"
"What function component First Study Design?"	"IT Evaluation Study Management and Execution"	"Ad Hoc Monitoring"	"Execution of a Quantitative Study"	"Execution of an IT Evaluation Study"
"What function component Material Controlling?"	"Controlling"	"Administrative Function"	"Management"	"Financial Controlling"
"What function component Material Controlling?"	"Controlling"	"Administrative Function"	"Management Function"	"Financial Controlling"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Adoption of Project Result"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Adoption of Project Result"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Approval to Strategic Information Management Plan"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Approval to Strategic Information Management Plan"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continuous Quality Improvement Process"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continuous Quality Improvement Process"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Creation of Strategic Information Management Plan"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Creation of Strategic Information Management Plan"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Delivering of Customer-Centered Services"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Delivering of Customer-Centered Services"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Designing Customer-Centered Services"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Designing Customer-Centered Services"
"What function component Operationalization of Methods and Detailed Study Plan?"	"IT Evaluation Study Management and Execution"	"Ad Hoc Monitoring"	"Execution of a Quantitative Study"	"Execution of an IT Evaluation Study"
"What function component Operationalization of Methods and Detailed Study Plan?"	"IT Evaluation Study Management and Execution"	"Ad Hoc Monitoring"	"Execution of a Quantitative Study"	"First Study Design"
"What role component Patient?"	"Hospital"	"Resource"	"Health Care Institution"	"Health Care Network"
"What increases Presentation Integration?"	"SOA"	"SOA Service"	"3LGM²-S"	"Access Integration"
"What increases Presentation Integration?"	"SOA"	"3LGM²-S"	"3LGM²-S"	"DB1 Style"
"What increases Presentation Integration?"	"SOA"	"3LGM²-S"	"3LGM²-S"	"Data Integration"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Establishing Referential Integrity"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Establishing Referential Integrity"
"What entity type component Study Objective?"	"Study"	"Clinical Trial"	"Evaluation Method"	"Field Study"
"What function component Process Controlling?"	"Controlling"	"Administrative Function"	"Management"	"Financial Controlling"
"What function component Process Controlling?"	"Controlling"	"Administrative Function"	"Management Function"	"Financial Controlling"
"What function component Report and Publication of Study?"	"IT Evaluation Study Management and Execution"	"Ad Hoc Monitoring"	"Execution of a Quantitative Study"	"First Study Design"
"What function component Staff Controlling?"	"Controlling"	"Administrative Function"	"Management"	"Financial Controlling"
"What function component Staff Controlling?"	"Controlling"	"Administrative Function"	"Management Function"	"Financial Controlling"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Change Management"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Change Management"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continual Service Improvement"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continual Service Improvement"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continuous HIS Auditing"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continuous HIS Auditing"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continuous Quality Improvement Process"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continuous Quality Improvement Process"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Deployment of Strategic Information Management Plan"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Deployment of Strategic Information Management Plan"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Establish and Promote the Strategic Information Management Plan"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Establish and Promote the Strategic Information Management Plan"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Failure Management"
"What function component Tactical Information Management?"	"Information Management"	"Reporting to the CEO"	"Acquire and Implement"	"Ad Hoc Monitoring"
"What function component Tactical Information Management?"	"Information Management Function"	"Reporting to the CEO"	"Acquire and Implement"	"Ad Hoc Monitoring"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Adoption of Project Result"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Adoption of Project Result"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Approval to Strategic Information Management Plan"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Approval to Strategic Information Management Plan"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Change Management"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Change Management"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Creation of Strategic Information Management Plan"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Creation of Strategic Information Management Plan"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Data Protection"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Data Protection"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Deployment of Strategic Information Management Plan"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Deployment of Strategic Information Management Plan"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Enterprise Function"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Enterprise Function"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Establish and Promote the Strategic Information Management Plan"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Establish and Promote the Strategic Information Management Plan"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Establishing Referential Integrity"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Establishing Referential Integrity"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Execution of an IT Evaluation Study"
