"callret-0"	"callret-1"	"callret-2"	"callret-3"	"callret-4"
"Is a research study testing a new treatment, medication, or medical device on patients. Results obtained in a trial may be used for care and data recorded during care are necessary input for trials"	"Clinical Trial"	"Resource"	"Study"	"Evaluation Method"
"Architectural style of health information systems where an application component is able to provide services and/or to invoke services from other application components (e.g., by remote function calls)."	"SOA"	"Consistency"	"Integration"	"Middleware"
"Application component supporting a larger number of hospital functions by closely integrating other application components such as a medical documentation system, a nursing management and documentation system, an outpatient management system, and a provider order entry system. Provides harmonized, integrated view on patient data and is thus often also called electronic patient record system."	"Clinical Information System"	"Computer-Based Application System"	"computer based application component"	"Administrative Discharge and Billing"
"Is scrubs, linen, etc."	"Laundry"	"Resource"	"Resource"	"Administrative Entity Type"
"A description of what the Xer thinks to be relevant of a system. In the sciences, Xs commonly represent a simplified depiction of reality or excerpts of it. Xs are adapted to answer certain questions or to solve certain tasks. Xs may be developed based on metaXs."	"Model"	"Framework"	"Metamodel"	"entity type"
"Subfunction of patient admission. To determine and record a patient's identity. As a result of X, a unique X number (PIN) is assigned."	"Patient Identification"	"top class"	"entity type"	"Function"
"Supports the workfl ow in the pharmacy department: receiving drug orders , managing the drug stock, distributing drugs throughout the hospital"	"Pharmacy Information System"	"Computer-Based Application System"	"computer based application component"	"Application Component"
"All activities of a health care institution’s management that ensure and continually improve the quality of patient care. This includes setting the goals, defining the responsibilities, and establishing and monitoring the processes to achieve these goals."	"Quality Management"	"Bed"	"Case"	"Complaint"
"The responsible physician will carry out the X. This typically comprises the patient history (disease history, systems review, social history, past medical history, family history, medication). Some of this information may be collected from documents of the referring physician and is taken to the hospital by the patient himself or herself."	"Medical Admission"	"Diagnosis"	"Finding"	"Medication"
"Is an evidence-based approach that describes which activities have to be performed for a specific group of patients when and by whom"	"Clinical Pathway"	"Activity"	"entity type"	"Activity"
"Determines which persons have to be at a certain place at a given time. Examples are X for patient admission , examination, or surgery"	"Appointment"	"Resource"	"Resource"	"Administrative Entity Type"
"Transaction management guarantees 'C'onsistency of data by 'A'tomicity, 'I'solation and 'D'urability of any transaction (X conditions)."	"ACID"	"Atomicity"	"Consistency"	"Durability"
"An X is a set of actually usable rules, which control data processing of certain physical data processing systems. Rules are considered to be actually usable, if they are implemented such that they are ready to support certain enterprise functions in a certain enterprise or support communication between Xs."	"Application Component"	"Information Processing Tool"	"Activity"	"entity type"
"Is a specimen taken from a patient , e.g., a blood X or a urine X"	"Sample"	"Bed"	"Case"	"Patient"
"Xs describe the data processed and stored in an information system. Model describing the data processed and stored in an information system. Concepts typically offered are entity types and their relationships. A typical metamodel for Xing is offered by the class diagrams in the Unified Modeling Language (UML)."	"Data Model"	"Metamodel"	"Model"	"Model"
"provide the right information at the right time at the right place to the right people in the right form"	"Efficiency of Information Logistics"	"HIS Quality"	"3LGM² Information Process"	"Quality of HIS Processes"
"Monitoring deals with caring for the verification of the proper working and effectiveness of components of the hospital information system"	"Operational HIS Monitoring"	"Function"	"Information Management"	"Information Management"
"Xs are coupled servers."	"Server Cluster"	"Server"	"3LGM² Physical Data Processing System"	"Application Component"
"Condition of an information system where the application components needed for the completion of a certain task can be used where they are needed."	"Access Integration"	"Integration"	"Information Management Entity Type"	"Quality of Computer-Based Application Components and Their Integration"
"X is the interrelationship between medical devices and Health Information Technology."	"Converging Technologies"	"entity type"	"software product"	"Information Management Entity Type"
"These are systems of health care institutions that join together to consolidate their roles, resources, and operations to deliver a coordinated range of services and to enhance effectiveness and efficiency of patient care."	"Integrated Health Care Delivery System"	"Organization"	"entity type"	"software product"
"Technologies used to achieve integration within distributed health information systems, including federated database systems, transaction management, and middleware (e. g. communication servers, remote function calls, SOA)."	"Integration Technology"	"entity type"	"software product"	"Information Management Entity Type"
"For example, mobile tools like PDA and tablet-PC, which are not restricted to a certain working place, are available."	"mobile physical data processing system"	"3LGM² Physical Data Processing System"	"Application Component"	"Information Management Entity Type"
"Planning in tactical information management means planning projects and all the resources needed for them."	"Project Planning"	"Project Goal"	"Project Order"	"Project Plan Approval"
"In the 3LGM², the logical tool layer describes the set of application components used in a health care institution to support its enterprise functions. On this layer, application components communicate representations of entity types as messages via communication links and store them as data."	"3LGM² Logical Tool Layer"	"3LGM² Application Component"	"3LGM² Communication Interface"	"entity type"
"An entity type is a representation of 1. an object class and of 2. the data representing information concerning the objects of this object class, if these data are stored or could or should be stored in the information system."	"3LGM² Entity Type"	"UML Attribute"	"UML Class"	"UML Method"
"Communicates data about a certain entity type. Connects a communication interface of one application component with a communication interface of another application component."	"Communication Link"	"top class"	"entity type"	"Function"
"Describes how messages of a certain data format are communicated when an event occurs. Within health information systems, well-known examples are HL7 and DICOM."	"Communication Standard"	"Standard"	"IHE Integration Profile"	"UML Class"
"There is an ISO standard (X) on “Good principles and practices for a clinical data warehouse (CDW)” which provides implementation guidance for data warehouses in a HIS."	"ISO TR 22221"	"Standard"	"ISO Standard"	"Clinical Data Warehouse"
"Is a request for a diagnostic, therapeutic, or drug service, e.g., a laboratory X or a radiological X."	"Order"	"Patient"	"Sample"	"entity type"
"X is the management of hospital information systems."	"Information Management in Hospitals"	"Function"	"Information Management"	"Information Management"
"Is an aggregation of diagnoses with similar properties"	"Diagnosis Class"	"Diagnosis"	"entity type"	"Patient Care Entity Type"
"Xs, which focus on the description of what is done in which chronological and logical order;Xs, which focus on the description of what is done in which chronological and logical order."	"Business Process Metamodel"	"Framework"	"Metamodel"	"Metamodel"
"X stands for a general order message (e.g., ordering a radiological examination)."	"ORM"	"HL7 Message Type"	"Information Management Entity Type"	"Message Type"
"OAIS 3 provides rules for  long-term archiving, confidentiality, availability, and integrity of the data"	"OAIS3"	"Metamodel"	"Model"	"Information Management Entity Type"
"X is obtained in a hospital information system when data that have been recorded           are available wherever they are needed, without having to be reentered. Thus, each data item needs to be recorded, changed,           deleted, or otherwise edited just once – even if it is used in several application components."	"Data Integration"	"Consistency"	"Integration"	"Data Collection Effort"
"In a X, there is a server that serves both as application and database server. The program execution can partly or completely be given to the client PCs. We will refer to these architectures as “T 2.”"	"2-tier Architecture"	"Server"	"Application Server"	"Architectural Style"
"Application component supporting patient administration."	"Patient Administration System"	"Computer-Based Application System"	"Appointment"	"Bed"
"A X is an integrated system of autonomous (component) database systems which are part of respective application components. Integrated system of autonomous (component) database systems. The point of integration is to logically bring the database schemata of the component database systems to a single database schema, the federated database schema, in order to attain data integration even when there are redundant data in distributed health information systems."	"Federated Database System"	"Consistency"	"Integration"	"Data Collection Effort"
"Xs, which are used to create models of the organizational structure of HISXs, which are used to create models of the organizational structure of HIS"	"Organizational Metamodel"	"Framework"	"Metamodel"	"Metamodel"
"Examination of in and out patients in radiological department"	"CT Scanner"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Radiological Procedures"	"Imaging Modality"
"For example, a computer in the operating room is designed not to harm the patient or the clinical user by electric hazards."	"harmless physical data processing system"	"3LGM² Physical Data Processing System"	"Application Component"	"Information Management Entity Type"
"Directing in tactical management means the execution of such tactical information management projects in hospitals, based on a project plan. Therefore, it includes typical tasks of project management such as resource allocation and coordination, motivation and training of the staff, etc. Monitoring means continually"	"Tactical HIS Directing"	"Project"	"Function"	"Project"
"Transcription means the manual transfer of data from one storage device to another storage device, for example, to transfer patient diagnoses from the patient record to an order entry form, or to copy data from a printout into a computer-based application component. Transcription is often combined with a change of the storage media (media crack), for example, transcribing data from a computer-based media to paper (or other way round). Manual transcription is time-consuming and may lead to copy-errors. Therefore, manual transcription has to be avoided."	"Controlled Transcription of Data"	"Transcription"	"HIS Quality"	"3LGM² Information Process"
"The correctness of data stored in a health information system. Important aspects of X are object identity, referential X, and consistency of data."	"Integrity"	"top class"	"Quality Criterion"	"entity type"
"All the hospital’s financial operations have to be systematically recorded to meet legal requirements. X comprises, for example, debtor accounting, credit accounting, and asset accounting."	"Financial Accounting"	"Bill"	"Law"	"Administrative Function"
"Ensures that every update of data which have been consistent will lead to another state in which data are consistent again."	"Transaction Management"	"Atomicity"	"Consistency"	"Durability"
"If we want to express that some services are of similar type, we can summarize them in a service class."	"3LGM²-S Service Class"	"UML Attribute"	"UML Class"	"UML Method"
"Metamodel for developing information system models of health information systems. It distinguishes three layers of information systems: domain layer, logical tool layer, and physical tool layer. It aims to support the systematic information management and especially the structural monitoring of information processing in health care institutions. X-B consists of concepts describing basic elements of a HIS architecture. X-M adds concepts for modeling message-based communication. X-S provides additional concepts for modeling service-oriented architectures."	"3LGM²"	"Domain Layer"	"Information System Modeling Method"	"Physical Tool Layer"
"The planned diagnostic, therapeutic, or nursing procedures (such as operations, radiotherapy, radiological examinations, medication) must be executed."	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Case"	"Diagnosis"	"Finding"
"for each process, there should be all the tools necessary but as few as possible. For a given task, from the point of view of the user, there should be as many different information processing tools as necessary, but as few as possible."	"Leanness of Information Processing Tools"	"HIS Quality"	"3LGM² Information Process"	"Quality of HIS Processes"
"Those messages transferred during communication in the context of notifications , teleconsultations, or teleconferences, and for the global use of patient records, have to be protected from unauthorized third party access. Encryption procedures based on public key infrastructures exist for these cases. They are sufficiently secure and can be obtained as commercial encryption software."	"Message Encryption"	"Function"	"Information Management"	"Information Management"
"For example, a personal computer or a mobile tool can be used for more than one task."	"multifunctional physical data processing system"	"3LGM² Physical Data Processing System"	"Application Component"	"Information Management Entity Type"
"To avoid duplicate data entry, which is inefficient and prone to error, data should be recorded only once, even when they are stored in different databases. Condition where data are captured once but used for more than one task. A prerequisite is data integration. X is one important benefit computer support can bring to health information systems."	"Multiple Usability of Data"	"Consistency"	"Integration"	"HIS Quality"
"An application component is a set of actually usable rules, which control data processing of certain physical data processing systems. Rules are considered to be actually usable, if they are implemented such that they are ready to support certain enterprise functions in a certain enterprise or support communication between application components. If the rules are implemented as executable software, the application component is called computer-based application component. Otherwise it is called non-computer-based."	"3LGM² Application Component"	"UML Abstract Class"	"UML Class"	"3LGM² Communication Interface"
"A software product is a set of rules, represented by software being stored at a certain medium but not implemented and actually executable yet."	"3LGM² Software Product"	"UML Abstract Class"	"UML Attribute"	"UML Class"
"Collection of health-related data relating to one subject of care, i.e., the patient, that is stored in the computer-supported part of a health information system. Primarily, EHRs are used to provide information about a patient whenever and wherever needed. EHRs can be differentiated into provider-centric EHR (electronic patient records) and patient-centered EHRs that are independent of institutional boundaries."	"Electronic Health Record"	"Digital Image"	"Patient Care Entity Type"	"Patient History"
"Describes whether data are sufficiently complete for a given purpose. For example, administrative data on a patient should be complete to allow patient identification."	"Completeness"	"Evaluation Criterion"	"Completeness"	"Quality of Data"
"How easily can a software product be transferred to another environment? For example, a RIS software follows established market standards with regard to the used database systems and operating systems."	"Portability"	"ISO Standard"	"ISO 25000 Software Quality"	"Software Quality"
"X supports the organization of patient care and guarantees the financial survival and the economic success of the hospital. Hospital function that supports the organization of patient care and guarantees the financial survival and the economic success of the hospital. Subfunctions are patient administration, archiving of patient information, quality management, cost and financial accounting, controlling, facility management, and information management."	"Hospital Administration"	"Function"	"Information Management"	"Information Management"
"Types, number, and availability of information processing tools used in a given enterprise."	"Infrastructure of an Information System"	"top class"	"entity type"	"Function"
"An economic analysis that describes how much an investment on an information system component pays back in a ﬁxed period of time."	"Return-on-Investment Study"	"Economic Analysis"	"Evaluation Method"	"Management Entity Type"
"Integrating the Healthcare Enterprise (X) is an organization founded by medical professional societies together with the health care IT industry with the aim of improving the interoperability of application components in health care (in particular within the hospital). Organization that aims at improving the interoperability of application components in healthcare, using existing standards such as HL7 and DICOM."	"IHE"	"Organization"	"Standard"	"entity type"
"Specially trained informatics staff in the central information management department who are usually responsible for the operation of the specific application components. User support unit addressing information processing problems that cannot be solved by first-level support. It may consist, for example, of specially trained informatics staff in the central information management department who are usually responsible for the operation of specific application components. When the X cannot solve the problems, they are handed over to the third-level support."	"Second-Level Support"	"IT Support"	"Information Management"	"Information Management"
"Xs, which are used for building models of the structure of data processed and stored inside a HISXs, which are used for building models of the structure of data processed and stored inside a HIS"	"Data Metamodel"	"Framework"	"Metamodel"	"Metamodel"
"Whether the goals of information management have been reached, or, in a broader sense, to what extent a hospital information system contributed to the goals of the hospital and to the expectations of different stakeholders, and how it fulfils information management laws."	"Quality of HIS Outcome"	"HIS Quality"	"Information Management Entity Type"	"Quality of Patient Care"
"X stands for an unsolicited observational result (e.g., a radiology report)."	"ORU"	"HL7 Message Type"	"Information Management Entity Type"	"Message Type"
"This plan has to describe the project's subject and motivation, the problems to be solved, the goals to be achieved, the tasks to be performed, and the activities to be undertaken to reach the goals."	"Project Plan"	"Detailed Planning"	"Project Background and Goal"	"Project Manager Data"
"In the context of health care, the concept of X applies to the human, physical, and financial resources that are needed to provide medical care (e.g., educational level of staff, availability of medical equipment)."	"Quality of Structures"	"Quality"	"Management Entity Type"	"Process Integration"
"provides six quality characteristics for software"	"ISO 25000 Software Quality"	"Standard"	"ISO Standard"	"Quality of Computer-Based Application Components and Their Integration"
"Set of data that are arranged as a unit in order to be communicated between application components."	"Message"	"Data"	"entity type"	"Data"
"X (short: admission ) aims at recording and distributing the patient demographics and insurance data as well as medical and nursing data of the patient history.In addition, each patient must be correctly identified, and a unique patient and case identifier must be assigned."	"Patient Admission"	"Appointment"	"Bed"	"Case"
"X comprises the administrative tasks in a hospital dealing more or less immediately with patients. Hospital function comprising patient admission, discharge, and transfer (ADT), and billing. A patient-related (not only case-related) X can be regarded as the center of the memory of a hospital information system."	"Patient Administration"	"Appointment"	"Bed"	"Bill"
"Monitoring as part of strategic information management means continuously auditing HIS quality as defined by means of its strategic information management plan’s directives and goals."	"Strategic HIS Monitoring"	"Project"	"Transparency"	"entity type"
"IHE offers comprehensive test software enabling vendors to test their products’ interfaces for IHE compliance and organizes large cross vendor testing events called “X” (from “connection” and “marathon”)."	"IHE Connect-a-thon"	"Organization"	"entity type"	"software product"
"Consists of all planned costs and revenues"	"Hospital Budget"	"Administrative Entity Type"	"Financial Resource"	"Hospital Cost"
"Summarizes monitored key performance indicators (KPIs) and compares them to the expected future state"	"Controlling Report"	"entity type"	"Administrative Entity Type"	"Information Management Entity Type"
"Model describing the organization of a unit or area. Concepts typically offered are units or roles that stand in a certain organizational relationship to each other."	"Organizational Model"	"Metamodel"	"Model"	"Model"
"Does an application component have the required X? For example, a RIS contains X required for report writing, it provides correct output when searching for a patient , and it guarantees security of stored data."	"Functionality"	"Requirement"	"CCHIT Functional Criterion"	"ISO Standard"
"X is general information about concepts in a certain (scientific or professional) domain (e.g., about diseases or therapeutic methods)."	"Knowledge"	"Data"	"Information"	"entity type"
"A X is used for the asynchronous sending, receiving, and buffering of messages. Application component supporting asynchronous communication between application components. Stands at the center of the logical tool layer of a hospital information system."	"Communication Server"	"Communication"	"Middleware"	"Asynchronous Communication"
"A knowledge-based system which assists a doctor in finding the right diagnosis or treatment for a specific patient"	"Decision Support System"	"Computer-Based Application System"	"computer based application component"	"Application Component"
"Supports blood donor services, blood analyses, administration of blood bottles"	"Blood Bank Management System"	"Computer-Based Application System"	"computer based application component"	"Application Component"
"For example, the mobile tools support data safety and data security as well as electrical safety. There exist standards such as ISO27001 3 that focus on these safety aspects."	"secure physical data processing system"	"3LGM² Physical Data Processing System"	"Application Component"	"Information Management Entity Type"
"As their names imply, providing interfaces and invoking interfaces, each belonging to only one application component, are able to provide or to invoke services."	"3LGM²-S Providing Interface"	"UML Abstract Class"	"3LGM² Communication Interface"	"3LGM² Entity Type"
"Sequence of enterprise (sub-)functions together with the conditions under which they are invoked, in order to achieve an enterprise goal. While enterprise functions concentrate on the “what,” Xes focus on the “how” of activities."	"Business Process"	"entity type"	"software product"	"Information Management Entity Type"
"Must be provided according to different nutritional needs of patients , e.g., normal diet and light diet"	"Food"	"Resource"	"Resource"	"Administrative Entity Type"
"ANSI Standard for the Structure of Clinical Documents HL7 document format that describes persistent records of medical information, encoded in XML."	"CDA"	"Standard"	"XML"	"Document Standard"
"X, which is the basis for 3LGM²-M and 3LGM²-S, consists of concepts describing b asic elements of a HIS architecture."	"3LGM²-B"	"3LGM²"	"UML Class Diagram"	"3LGM² Domain Layer"
" Event counting comprises observations of clinical situations or processes or analysis of available data (e.g., log ﬁ les), counting the number of events that occur in a given time period."	"Event Counting Study"	"Evaluation Method"	"Observation Protocol"	"Quantitative Evaluation Method"
"The “2-phase commit protocol” was developed for transaction management in DB n architectures. In the initial phase, this protocol checks if the transaction can be carried out by all affected database systems. Only if the changes are possible everywhere, they are actually carried out in a second phase in all database systems."	"2-Phase-Commit-Protocol"	"ACID"	"Information Management"	"Communication Protocol"
"A service is a feature provided by an application component in order to be used by other application components."	"3LGM²-S Service"	"UML Attribute"	"UML Class"	"UML Method"
"Application component for order entry of diagnostic or therapeutic procedures (e.g., lab examinations) from specialized service units as well as for ordering of drugs."	"Computerized Physician Order Entry System"	"Computer-Based Application System"	"Case"	"Order"
"The X describes how and where the electronic or paper-based patient record can be found. The exact location of each record should be known (e.g., in which archive, on which shelf). Robot systems may store and gather paper-based records automatically (see Fig. 6.19 ). Lending and return of records (e.g., for patients coming for multiple visits) have to be organized, while respecting different access rights that depend on the role of the health care professionals in the process of patient care."	"Patient Record Archive"	"top class"	"entity type"	"Function"
"Application component that supports long-term archiving of patient-related and other data and documents based on sustainable standardized data formats, documents formats, and interfaces."	"Document Archiving System"	"Computer-Based Application System"	"Archiving"	"Integrity"
"A functionality offered by a software product which directly contributes to the fulfillment of one or more enterprise functions"	"Feature"	"entity type"	"software product"	"Information Management Entity Type"
"comparable in appearance and usability, for example, using tools from the same vendor"	"Homogeneous Architecture"	"HIS Architecture"	"Architecture of an Information System"	"Computer-Based Tool"
"Directing as part of strategic information management means to transform the strategic information management plan into action, that is, to systematically manipulate the hospital information system to make it conform to the strategic plan. Strategic directing of HIS is a consequence of planning and monitoring hospital functions, HIS architectures, and information management organizations."	"Strategic HIS Directing"	"Project"	"Function"	"HIS Architecture"
"Several application components store data about certain entity types persistently and contain their own databases"	"DBn Style"	"Middleware"	"ACn Style"	"Application Component Style"
"X is a not-for-profit organization and offers certification for inpatient EHRs, ambulatory EHRs and other application components."	"CCHIT"	"Organization"	"entity type"	"CCHIT Functional Criterion"
"Develops standards for the synchronization of independent application components running on one workstation, in order to support contextual integration."	"CCOW"	"Organization"	"Standard"	"entity type"
"Certification in general means to confirm that an object or organization has certain characteristics. X in general describes a process where an accredited body confirms that the HIS fulfills certain pre-defined quality characteristics."	"HIS Certification"	"3LGM²"	"Transparency"	"Function"
"deals with particular enterprise functions or application components that are introduced, removed, or changed. Usually these activities are done in the form of projects. Such tactical information management projects are initiated by strategic information management."	"Project Execution"	"Interim Report"	"Meeting Management"	"Method of Project Execution"
"Condition of an information system where features needed in several application components are implemented only once and can be invoked by other application components."	"Functional Integration"	"Integration"	"Information Management Entity Type"	"Quality of Computer-Based Application Components and Their Integration"
"""X"" is used for the synchronization of application components with regard to a chosen or identified patient."	"Patient Link"	"entity type"	"software product"	"Information Management Entity Type"
"How much effort does it take to modify an application component? For example, an upgrade of the RIS software can be done quickly and without endangering overall application component’s stability."	"Maintainability of Software"	"ISO Standard"	"ISO 25000 Software Quality"	"Software Quality"
"When hospital information systems make available  the right information and knowledge at the right time at the right place  to the right people in the right form, so that these people can make the right decisions, this is also described as X. • the right information and knowledge • at the right time • at the right place • to the right people • in the right form,"	"Information and Knowledge Logistics"	"Function"	"Information Management"	"Information Management"
"A message type describes a class of uniform messages and determines which data about which entity types is communicated by a message belonging to this message type."	"3LGM² Message Type"	"Data"	"Message"	"Message"
"Xs, focusing on hospital functions that are supported by the information system;unctional models represent the enterprise functions of an institution (what is to be done). In a hospital, their elements are the hospital functions that are supported by the application components of the hospital information system."	"Functional Metamodel"	"Framework"	"Metamodel"	"Metamodel"
"A set of physical data processing systems in the 3LGM² that are physically connected via data transmission connections."	"Physical Tool Layer"	"entity type"	"software product"	"Information Management Entity Type"
"In the context of hospital information systems, it refers to the processing of data together with their related information, and knowledge.341"	"Information Processing"	"Function"	"Information Management"	"Information Management"
"Is medical strip, bandage, needle, etc."	"Material"	"Resource"	"Resource"	"Administrative Entity Type"
"A (man-made) system that consists of both human and technical components."	"Socio-Technical System"	"entity type"	"software product"	"Artificial System"
"Describes a process in which organizations evaluate various aspects of their performance and compare it to given standard or to the best organizations (“best-practice”). Typically, X comprises quantitative evaluation criteria (key performance indicators). Method of strategic monitoring of hospital information systems."	"Benchmarking"	"top class"	"entity type"	"Function"
"X is thereby carried out, meaning that the process in the initiating application component, following the initialization of communication with another application component, is interrupted as long as response data from the partner are not obtained. Form of communication in which the process in the application component that initiated communication with another application component is interrupted as long as response data from the partner are not obtained."	"Synchronous Communication"	"Communication"	"2-Phase-Commit-Protocol"	"Communication Protocol"
"X extends 3LGM²-B by concepts for modeling message- based communication."	"3LGM²-M"	"3LGM²"	"UML Class"	"UML Class Diagram"
"Xs are all data processing tools that are immediately available to the various user groups within a hospital"	"Client"	"3LGM² Physical Data Processing System"	"Application Component"	"Information Management Entity Type"
"An organizational unit is a part of an institution which can be defined by responsibilities."	"3LGM² Organizational Unit"	"UML Attribute"	"UML Class"	"UML Method"
"Standard for request and report messages for diagnostic service departments"	"EN12539"	"EDIFACT"	"Communication Standard"	"Data Integration"
"In medicine, X describes the quality of activities carried out by care providers (e.g., adherence to professional standards, appropriateness of care)."	"Quality of Processes"	"Integration"	"Quality"	"Transcription"
"Comprises suitability for a task, suitability for learning, suitability for individualization, conformity with user expectations, self-descriptiveness, controllability, and error tolerance of a software product."	"Software Ergonomics"	"ISO Standard"	"ISO 9241"	"ISO 9241-110"
"For example, costs for purchase and support of tools are low."	"maintainable physical data processing system"	"3LGM² Physical Data Processing System"	"Application Component"	"Information Management Entity Type"
"Is a technical or mechanical device used for diagnosis and treatment"	"Medical Device"	"Resource"	"Resource"	"Administrative Entity Type"
"An application component or a physical data processing system. Can be either computer-based or non-computer-based (e.g., paper-based)."	"Information Processing Tool"	"entity type"	"software product"	"Information Management Entity Type"
"Standard for the exchange of laboratory information"	"EN1613"	"EDIFACT"	"Communication Standard"	"Data Integration"
"Synchronous communication between application components, enabling the execution of a procedure that can run on a remote computer through a process that is running on a local computer."	"Remote Function Call"	"Communication"	"Integration"	"Middleware"
"The planning activities of strategic information management result in a specific strategic information management plan. This plan includes the direction and strategy of information management and gives directives for the construction and development of the hospital information system by describing its intended architecture."	"Strategic HIS Planning"	"Hospital Goal"	"Project"	"Function"
"Is the application component easy to use? For more details on software ergonomics, see next paragraph."	"Usability"	"ISO Standard"	"ISO 25000 Software Quality"	"Software Quality"
"Is one who treats, according to his or her specialization (e.g., nephrology or pediatrics), patients with certain diagnoses. Examples are physicians and nurses. Staff member directly contributing to patient care, such as a physician or nurse."	"Health Care Professional"	"Case"	"Diagnosis"	"Finding"
"One part of information management. Deals with particular enterprise functions or application components that are introduced, removed, or changed. Usually these activities are done in the form of projects."	"Tactical Information Management"	"Activity"	"Model"	"Project"
"We speak of X when, either, one or more physical data processing systems simulate one physical data processing system (cluster), or one physical data processing simulates one or more physical data processing systems (virtual machine)."	"Virtualization"	"entity type"	"software product"	"Information Management Entity Type"
"An example for a system of concepts in medicine is the International Classification of Diagnoses (ICD, currently most prevalent in version 10). For more information: World Health Organization (WHO): Tenth Revision of the International Statistical Classification of Diseases and Related Health Problems (ICD-10). Geneva: World Health Organization. http://www.who.int/whosis/X."	"ICD10"	"ICD"	"Classification of Diagnoses"	"Semantic Integration"
"X is guaranteed when business processes are effectively supported by a set of interacting application components. Condition of an information system where business processes are effectively supported by a set of interacting application components."	"Process Integration"	"Integration"	"Transcription"	"Information Management Entity Type"
"For example, all computer-based physical tools follow predefined standards for technical interfaces"	"standardized physical data processing system"	"3LGM² Physical Data Processing System"	"Application Component"	"Information Management Entity Type"
"A X in general is composed of all data and documents generated or received during the care of a patient at a health care institution."	"Patient Record"	"Diagnosis"	"Finding"	"Medication"
"Application component that supports the storage, management, manipulation, and presentation of digital images and their communication to attached workstations for the diagnosing specialists or for the ordering departments."	"Picture Archiving and Communication System"	"Computer-Based Application System"	"Radiotherapy"	"computer based application component"
